"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "Wind_Speed" "Cloud_covering" "Solar_radiation" "Raining_Level" "Pressure" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
0,903646630141289 -0,997296460935823 0,75667133389332 1,10851806055029 -0,552451539782113 -1,05163127634034 NA -0,623980786084574 1,42700845476202 0,171434542077469 -0,569934379904178 0,302796786747773 -1,38886736550343 -1,09827682600955 -1,52307618344982 -0,869068316645921 -0,897261292727036 -1,1448856618116 -0,59894783198528 -1,36047502462529 2015-02-24 "February" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,04459790050329 -1,02552156556199 0,73691468276579 1,12269427415652 -0,53118349417603 -1,03171087504704 NA -0,623980786084574 -0,317893611464033 -0,175153041871497 -0,688647975797792 0,0391009703350562 -0,0373050585395649 -1,05573921819687 -1,71471235535625 -0,99847633932412 -0,884353164557295 -1,14585250040151 -0,805456677315014 -1,26908055291998 2015-02-25 "February" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
0,821947461490326 -0,789758926919868 0,716920523788083 1,13652323811672 -0,509793684693934 -0,866353021538852 NA -0,623980786084574 0,481263611212315 1,17248272337688 -0,75816296765779 1,11565728504753 -0,205524353405845 -0,773304831188386 -1,588246572793 -0,728998837553893 -0,781518410138363 -1,1787250124587 -0,762770491408868 -1,47118865295124 2015-02-26 "February" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
0,648538550866405 -0,81632373127391 0,696694781661011 1,15000085461043 -0,488286870108633 -0,853622824262661 NA -0,623980786084574 -0,0064184994152487 -0,455372790596194 -0,199187756650855 -0,202821797016061 -0,000978983565302358 -0,988675422095807 -1,59388293079025 -0,800320304598128 -0,341781510489204 -0,904142852922195 -0,479349599401393 -1,33781216782032 2015-02-27 "February" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,554362442459553 -0,996466310799759 0,676243449708474 1,163123129929 -0,466667720138393 -0,953906805583236 NA -0,623980786084574 1,44342174049687 -0,529114829734272 -0,166571717816069 -0,633444322901048 -0,188170908674922 -1,08716339694137 -1,71013281448349 -0,93009596370439 -1,03882043165519 -0,935081687799547 -0,695472450565845 -1,34375652370359 2015-02-28 "February" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,0407754297949261 -0,443586320181254 0,655572588101507 1,17588617565907 -0,444940818269117 -0,586962236874094 NA -0,623980786084574 2,4087870635457 0,167747440120565 -0,202262669402956 0,455208130178977 -1,69813179837538 -0,484738897107803 -1,48679212884253 -0,25254202678416 -0,603386241395944 -1,1448856618116 -0,794304430546741 -1,46635886379608 2015-03-01 "March" "2015" "Sunday" "1" "1" "1" "low_season" "0" "1" "0" "0"
0,715831673716619 -0,803041329096889 0,634688322062516 1,18828620983472 -0,423110663949322 -0,78726919679331 NA -0,623980786084574 2,48481642160486 -0,591795563001639 -0,256403097502449 0,331827518829907 -1,24314066938575 -0,428022086690902 -1,2486560034588 -0,646648277667766 -0,571976462849576 -0,500971160926693 -0,189775743659699 -1,23081376192142 2015-03-02 "March" "2015" "Monday" "0" "2" "1" "low_season" "0" "0" "0" "0"
1,222705526855 -0,936280425935132 0,613596840050249 1,20031955805821 -0,401181678861621 -0,859394352194427 NA -0,623980786084574 0,901405994333237 -0,558611645389503 -0,767607342539243 0,476981179240577 -0,138891349601315 -0,70240881816726 -1,50687165420773 -0,843701403109569 -1,04097178635015 -0,919612270360871 -0,132860829118171 -0,979664725853168 2015-03-03 "March" "2015" "Tuesday" "0" "3" "1" "low_season" "0" "0" "0" "0"
0,13552073921945 -0,944166852227739 0,592304391926017 1,21198265458878 -0,379158208490554 -0,936381735721866 NA -0,623980786084574 1,22910573366015 -0,357664588738241 -0,449463691009363 -0,40845614926451 0,778377243183838 -0,993657304091886 -1,60973518765751 -0,896273412322588 -1,11153622034473 -1,07478986404259 -0,408205956224483 -1,25199052975558 2015-03-04 "March" "2015" "Wednesday" "0" "4" "1" "low_season" "0" "0" "0" "0"
0,820874276925202 -0,889792018315558 0,570817287101728 1,2232720433992 -0,357044526512616 -0,917345375906081 NA -0,623980786084574 -0,287330941474994 -0,503305116035945 -0,198309210150255 -0,633444322901048 2,07918160430187 -1,1078573683097 -1,51426937407912 -0,867965407361732 -0,945021366955075 -1,08397483064681 -0,700471733599898 -1,36047502462529 2015-03-05 "March" "2015" "Thursday" "0" "5" "1" "low_season" "0" "0" "0" "0"
