"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
3,29387548713748 -1,17101750092881 1,19452954064753 0,596015998385505 -0,887837641904254 -1,20091908038099 0,329679745335813 -0,842041184150731 -0,652758114456234 -1,082489903772 -1,00706381249176 -1,47995412133127 -0,965470270075834 -1,08807827369328 -1,40505807358655 2015-01-27 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
3,44371800647147 -1,0239750801466 1,18348875433559 0,617859325085937 -0,8754083215445 -1,05256858260354 0,329679745335813 -0,842041184150731 -1,06197526167273 -1,17469463162053 -0,975674511634822 -1,40431299095689 -1,16785038974389 -0,657012561469697 -1,08029882357711 2015-01-28 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
3,5535535057707 -1,32839884192226 1,17207858748098 0,639506815214008 -0,862737969951283 -1,24346164768697 0,329679745335813 -0,842041184150731 -0,919074035660619 -1,08631582608936 -0,894138888677168 -1,54604460393111 -1,02094308170508 -1,06702266608023 -1,17237762269743 2015-01-29 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
3,50713677339863 -1,51373355978317 1,16030242116239 0,660952054151204 -0,849832389532709 -1,38858302014502 0,329679745335813 -0,842041184150731 -1,3691746887148 -1,45360436855655 -0,801119375162098 -1,47345968084458 -1,32508711787919 -0,923844534311471 -1,08411952063604 2015-01-30 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
3,19944409921098 -1,56695985272257 1,14816374491205 0,682188687210399 -0,836697347881216 -1,52093466974911 0,329679745335813 -0,842041184150731 -1,3523627797722 -1,54160058185598 -1,07022521055755 -1,73018109302429 -1,51025153738645 -1,37481736646012 -1,45090643829377 2015-01-31 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
3,29696982991408 -1,46816572625952 1,1356661556817 0,703210421518897 -0,823338569599485 -1,51080309593001 0,329679745335813 -0,842041184150731 -1,32485238332067 -1,44633511615356 -1,20190715561592 -1,86198003231298 -1,56342892232759 -1,35797288036968 -1,53878247064927 2015-02-01 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
3,65321700083188 -1,5543233946866 1,12281335677676 0,724011027883134 -0,809761731759247 -1,55188946677019 0,329679745335813 -0,842041184150731 -1,4773058303229 -1,54657428086856 -1,24095238351113 -1,82301338939285 -1,46472557473901 -1,33040917585805 -1,44364711388179 2015-02-02 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
3,68874823492869 -1,74463611116774 1,10960915675892 0,74458434263453 -0,795972457240897 -1,66347196943364 0,329679745335813 -0,842041184150731 -1,75737694975305 -1,47923804808291 -1,33779986054534 -1,59226973915989 -1,550804075543 -1,48315803836001 -1,54374937682588 2015-02-03 "February" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
3,71266486573037 -1,74463611116774 1,09605746831763 0,764924269455917 -0,78197631049508 -1,72116747768218 0,329679745335813 -0,842041184150731 -1,620207056335 -1,56340833906497 -1,45416995152716 -1,88719374243778 -1,74094191954116 -1,7637718634576 -1,47650510858863 2015-02-04 "February" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
4,09281125321837 -1,92039775475897 1,08216230711064 0,785024781188006 -0,767778793606991 -1,864164425588 0,329679745335813 -0,842041184150731 -1,63358016572116 -1,6774208241225 -1,43541293028338 -2,13245437728803 -1,74094191954116 -1,62633617012877 -1,5605604438852 2015-02-05 "February" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
4,15488414606717 -1,82390116612065 1,06792779057409 0,804879921615365 -0,75338534054424 -1,84396694198141 0,329679745335813 -0,842041184150731 -1,42916263653272 -1,89052469719981 -1,50431627362788 -1,98804858293695 -1,91654206118131 -1,63973519315525 -1,67441721624145 2015-02-06 "February" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
3,40013385598906 -1,62210076051589 1,05335813670244 0,824483807231378 -0,738801314734874 -1,7388851784478 0,329679745335813 -0,842041184150731 -1,49106102854866 -1,81553661977943 -1,5766647841396 -2,07782467201765 -1,82013414028084 -1,43492155546465 -1,88723004242411 2015-02-07 "February" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
3,15941818370464 -1,04618461245224 1,03845766279857 0,84383062898165 -0,724032005737192 -1,33391964512103 0,329679745335813 -0,842041184150731 -1,27327038997406 -1,53624429061167 -1,43579572663529 -1,9055309861649 -1,61851916284214 -1,49693989061583 -1,81234438006899 2015-02-08 "February" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
3,46100656438392 -1,25717516935588 1,02323078419448 0,862914653985357 -0,709082626817796 -1,29678084135791 0,329679745335813 -0,842041184150731 -1,27135994577603 -1,14600021424028 -1,11271560561999 -1,49943744279134 -1,04313220635677 -1,27872722989874 -1,53343349476676 2015-02-09 "February" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
